,0
639,10014
640,11217
641,11435
642,11370
643,10016
644,10009
645,11426
646,10466
647,91001
648,94108
649,10011
650,11212
651,10469
652,91345
653,90036
654,91377
655,90005
656,10010
657,10470
658,11411
659,11212
660,10462
661,11231
662,60612
663,94121
664,90011
665,91741
666,10128
667,90814
668,11106
669,91106
670,02115
671,90278
672,90023
673,11221
674,60707
675,90002
676,91001
677,91766
678,90275
679,11414
680,91602
681,90274
682,91802
683,90026
684,90404
685,90660
686,11377
687,91731
688,90010
689,
690,11421
691,20010
692,91706
693,11362
694,20002
695,10304
696,91505
697,91362
698,11004
699,90032
700,60622
701,02127
702,11429
703,11374
704,20004
705,90603
706,02124
707,94102
708,90012
709,11217
710,11379
711,90024
712,10451
713,90007
714,11102
715,90630
716,60615
717,11221
718,10007
719,60613
720,93532
721,10550
722,90019
723,91501
724,90008
725,90069
726,90014
727,11201
728,20017
729,11367
730,90056
731,60637
732,90501
733,90280
734,02143
735,02119
736,11104
737,91201
738,11236
739,94117
740,11369
741,90290
742,10305
743,90064
744,94111
745,10011
746,210
747,91304
748,11234
749,11237
750,20372
751,10048
752,02120
753,60623
754,02125
755,91340
756,11429
757,10456
758,20001
759,10455
760,10065
761,91040
762,90503
763,11360
764,02109
765,20016
766,60634
767,90277
768,20015
